a,b,c,d,e,f,g,h,i,j
PT-0001-0025ES-0003-011,15107,,PT-0001-0025,DUBAI ROJO MEMORY ELASTIC 4MM,104,ES-0003-011,MEMORY ELASTIC 4MM ROJO,TEIMP,Y,1
PT-0001-0025PR-0001-004,15108,,PT-0001-0025,DUBAI ROJO MEMORY ELASTIC 4MM,105,PR-0001-004,PROCESO LAMINADO LATEX,BON_PROD,Y,1
PT-0001-0026TX-0005-022,15109,,PT-0001-0026,ALFA NEGRO ESPUMA 0417 NG PELLON NG,106,TX-0005-022,ALFA NEGRO,BON_PROD,Y,1
PT-0001-0026ES-0002-075,15110,,PT-0001-0026,ALFA NEGRO ESPUMA 0417 NG PELLON NG,107,ES-0002-075,PEELER 040-014 NEGRO 33,BON_PROD,Y,1
PT-0001-0026TX-0054-003,15111,,PT-0001-0026,ALFA NEGRO ESPUMA 0417 NG PELLON NG,108,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0001-0026PR-0001-024,15112,,PT-0001-0026,ALFA NEGRO ESPUMA 0417 NG PELLON NG,109,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0027TX-0005-036,15113,,PT-0001-0027,ALFA NARANJA NEON ESPUMA 0517 BC ALFA NARANJA NEON,110,TX-0005-036,ALFA NARANJA NEON,TEIMP,Y,1
PT-0001-0027ES-0002-030,15114,,PT-0001-0027,ALFA NARANJA NEON ESPUMA 0517 BC ALFA NARANJA NEON,111,ES-0002-030,PEELER 050-017 BLANCO,TEIMP,Y,1
PT-0001-0027PR-0001-024,15115,,PT-0001-0027,ALFA NARANJA NEON ESPUMA 0517 BC ALFA NARANJA NEON,112,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0027TX-0005-036,15116,,PT-0001-0027,ALFA NARANJA NEON ESPUMA 0517 BC ALFA NARANJA NEON,113,TX-0005-036,ALFA NARANJA NEON,TEIMP,Y,1
PT-0001-0028TX-0261-005,15117,,PT-0001-0028,OLIMPIA MARINO ESPUMA 0417 NG PELLON NG,114,TX-0261-005,OLIMPIA MARINO,TEIMP,Y,1
PT-0001-0028PR-0001-024,15118,,PT-0001-0028,OLIMPIA MARINO ESPUMA 0417 NG PELLON NG,115,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0028ES-0002-021,15119,,PT-0001-0028,OLIMPIA MARINO ESPUMA 0417 NG PELLON NG,116,ES-0002-021,PEELER 040-014 NEGRO U,TEIMP,Y,1
PT-0001-0028TX-0054-003,15120,,PT-0001-0028,OLIMPIA MARINO ESPUMA 0417 NG PELLON NG,117,TX-0054-003,PELLON NEGRO,TEIMP,Y,1
PT-0001-0029TX-0196-011,15121,,PT-0001-0029,CUPRA CASIS TST 270 SUAVE BC,118,TX-0196-011,CUPRA CASIS,CDI_GDL,Y,1
PT-0001-0029TX-0127-005,15122,,PT-0001-0029,CUPRA CASIS TST 270 SUAVE BC,119,TX-0127-005,TST 270 BLANCO SUAVE,TEIMP,Y,1
PT-0001-0029PR-0001-011,15123,,PT-0001-0029,CUPRA CASIS TST 270 SUAVE BC,120,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0029PG-0001-012,15124,,PT-0001-0029,CUPRA CASIS TST 270 SUAVE BC,121,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0001-0030TX-0005-022,15125,,PT-0001-0030,ALFA NEGRO FILM BARRERA,122,TX-0005-022,ALFA NEGRO,TEIMP,Y,1
PT-0001-0030PG-0001-018,15126,,PT-0001-0030,ALFA NEGRO FILM BARRERA,123,PG-0001-018,FILM ADHESIVO TPU BARRERA 1.45 ANCHO,BONINSUM,Y,1
PT-0001-0030PR-0001-011,15127,,PT-0001-0030,ALFA NEGRO FILM BARRERA,124,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0031TX-0005-027,15128,,PT-0001-0031,ALFA SEPIA ESPUMA 0317 NG PELLON NG,125,TX-0005-027,ALFA SEPIA,BON_PROD,Y,1
PT-0001-0031ES-0002-007,15129,,PT-0001-0031,ALFA SEPIA ESPUMA 0317 NG PELLON NG,126,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0001-0031TX-0054-003,15130,,PT-0001-0031,ALFA SEPIA ESPUMA 0317 NG PELLON NG,127,TX-0054-003,PELLON NEGRO,BON_PROD,Y,1
PT-0001-0031PR-0001-024,15131,,PT-0001-0031,ALFA SEPIA ESPUMA 0317 NG PELLON NG,128,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0032ES-0002-021,15132,,PT-0001-0032,ALFA VERDE FOREST ESPUMA 0417 NG,129,ES-0002-021,PEELER 040-014 NEGRO U,BON_PROD,Y,1
PT-0001-0032PR-0001-024,15133,,PT-0001-0032,ALFA VERDE FOREST ESPUMA 0417 NG,130,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,1
