a,b,c,d,e,f,g,h,i,j
PT-0004-7041SI-0136-004,40109,,PT-0004-7041,KENYA BLACK MAQUILA ALMA 1.8 KENYA NUTY,25106,SI-0136-004,KENYA NEGRO,BON_PROD,N,1
PT-0004-7041SI-0136-006,40110,,PT-0004-7041,KENYA BLACK MAQUILA ALMA 1.8 KENYA NUTY,25107,SI-0136-006,KENYA NUTTY,BON_PROD,Y,1
PT-0004-7041PR-0001-011,40111,,PT-0004-7041,KENYA BLACK MAQUILA ALMA 1.8 KENYA NUTY,25108,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7042PT-0003-0245,40112,,PT-0004-7042,NAIROBI NEGRO POLAR BLACK PERFO BOA,25109,PT-0003-0245,NAIROBI NEGRO POLAR BLACK INK,PTER,Y,1
PT-0004-7042PR-0002-003,40113,,PT-0004-7042,NAIROBI NEGRO POLAR BLACK PERFO BOA,25110,PR-0002-003,"PROCESO PRODUCCION 1 PROCESO (TMB, PERF, EST, GOF)",PERFO,Y,1
PT-0004-7042PF-0001-0008,40114,,PT-0004-7042,NAIROBI NEGRO POLAR BLACK PERFO BOA,25111,PF-0001-0008,PERFORADO PERFO BOA LH-337,PERFO,Y,1
PT-0004-7043SI-0118-006,40115,,PT-0004-7043,COCODRILO COFFEE BROWN MAQUILA ALMA 1.4 FLORENCIA MOKA,25112,SI-0118-006,COCODRILO COFFEE BROWN 1040003202,BON_PROD,Y,1
PT-0004-7043SI-0020-005,40116,,PT-0004-7043,COCODRILO COFFEE BROWN MAQUILA ALMA 1.4 FLORENCIA MOKA,25113,SI-0020-005,FORRO FLORENCIA MOKA,BON_PROD,Y,1
PT-0004-7043PR-0001-011,40117,,PT-0004-7043,COCODRILO COFFEE BROWN MAQUILA ALMA 1.4 FLORENCIA MOKA,25114,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7044SI-0105-005,40118,,PT-0004-7044,DEER VERDE FOREST MAQUILA ALMA 0.8 CABRA CORTE COSECHA 1.0,25115,SI-0105-005,DEER VERDE FOREST,BON_PROD,Y,1
PT-0004-7044SI-0121-015,40119,,PT-0004-7044,DEER VERDE FOREST MAQUILA ALMA 0.8 CABRA CORTE COSECHA 1.0,25116,SI-0121-015,CABRA CORTE COSECHA 1,BON_PROD,Y,1
PT-0004-7044PR-0001-011,40120,,PT-0004-7044,DEER VERDE FOREST MAQUILA ALMA 0.8 CABRA CORTE COSECHA 1.0,25117,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7045SI-0021-001,40121,,PT-0004-7045,FORRO LORETO MARINO MAQUILA ALMA 1.8 LORETO FERRERO,25118,SI-0021-001,FORRO LORETO AZUL MARINO 1040005001,BON_PROD,Y,1
PT-0004-7045SI-0021-003,40122,,PT-0004-7045,FORRO LORETO MARINO MAQUILA ALMA 1.8 LORETO FERRERO,25119,SI-0021-003,FORRO LORETO FERRERO 1040003425,BON_PROD,Y,1
PT-0004-7045PR-0001-011,40123,,PT-0004-7045,FORRO LORETO MARINO MAQUILA ALMA 1.8 LORETO FERRERO,25120,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7046MX-0171-013,40124,,PT-0004-7046,COCODRILO GLAZED NEGRO BASE DONNA GRIS,25121,MX-0171-013,COCODRILO GLAZED NEGRO 1040003159,BON_PROD,N,1
PT-0004-7046BA-0001-006,40125,,PT-0004-7046,COCODRILO GLAZED NEGRO BASE DONNA GRIS,25122,BA-0001-006,BASE GRIS DN 060 RP,BON_PROD,Y,1
PT-0004-7046PR-0001-011,40126,,PT-0004-7046,COCODRILO GLAZED NEGRO BASE DONNA GRIS,25123,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7046PG-0001-025,40127,,PT-0004-7046,COCODRILO GLAZED NEGRO BASE DONNA GRIS,25124,PG-0001-025,ADHESIVO SMELLTEX TPU CE 200 1.50,BON_PROD,Y,1.5
PT-0004-7047TX-0261-006,40128,,PT-0004-7047,OLIMPIA NEGRO EVA 01540 SARGA PAS,25125,TX-0261-006,OLIMPIA NEGRO,BON_PROD,Y,1
PT-0004-7047EV-0001-002,40129,,PT-0004-7047,OLIMPIA NEGRO EVA 01540 SARGA PAS,25126,EV-0001-002,EVA 015040 NEGRO EP,BON_PROD,Y,1
PT-0004-7047TX-0108-007,40130,,PT-0004-7047,OLIMPIA NEGRO EVA 01540 SARGA PAS,25127,TX-0108-007,SARGA PAS,BON_PROD,Y,1
PT-0004-7047PR-0001-011,40131,,PT-0004-7047,OLIMPIA NEGRO EVA 01540 SARGA PAS,25128,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,2
PT-0004-7048TX-0010-003,40132,,PT-0004-7048,BOMBAY GRIS EVA 0340 BC TST 180 BC,25129,TX-0010-003,BOMBAY GRIS,BON_PROD,Y,1
PT-0004-7048EV-0002-006,40133,,PT-0004-7048,BOMBAY GRIS EVA 0340 BC TST 180 BC,25130,EV-0002-006,EVA 030040 BLANCO VIC,BON_PROD,Y,1
PT-0004-7048TX-0127-001,40134,,PT-0004-7048,BOMBAY GRIS EVA 0340 BC TST 180 BC,25131,TX-0127-001,TST 180 BLANCO SUAVE,BON_PROD,Y,1
PT-0004-7048PR-0001-011,40135,,PT-0004-7048,BOMBAY GRIS EVA 0340 BC TST 180 BC,25132,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,2
PT-0004-7049TX-0134-005,40136,,PT-0004-7049,BOMBAY MARINO EVA 0340 NG TST 180 NG,25133,TX-0134-005,BOMBAY 100 MARINO,BON_PROD,Y,1
PT-0004-7049EV-0001-008,40137,,PT-0004-7049,BOMBAY MARINO EVA 0340 NG TST 180 NG,25134,EV-0001-008,EVA 030040 NEGRO EP,BON_PROD,Y,1
PT-0004-7049TX-0127-002,40138,,PT-0004-7049,BOMBAY MARINO EVA 0340 NG TST 180 NG,25135,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-0004-7049PR-0001-011,40139,,PT-0004-7049,BOMBAY MARINO EVA 0340 NG TST 180 NG,25136,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,2
PT-0004-7050TX-0010-006,40140,,PT-0004-7050,BOMBAY ROJO EVA 0340 NG TST 180 NG,25137,TX-0010-006,BOMBAY ROJO,BON_PROD,Y,1
PT-0004-7050EV-0001-008,40141,,PT-0004-7050,BOMBAY ROJO EVA 0340 NG TST 180 NG,25138,EV-0001-008,EVA 030040 NEGRO EP,BON_PROD,Y,1
PT-0004-7050TX-0127-002,40142,,PT-0004-7050,BOMBAY ROJO EVA 0340 NG TST 180 NG,25139,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-0004-7050PR-0001-011,40143,,PT-0004-7050,BOMBAY ROJO EVA 0340 NG TST 180 NG,25140,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,2
PT-0004-7051TX-0010-004,40144,,PT-0004-7051,BOMBAY NEGRO EVA 0340 NG TST 180 NG,25141,TX-0010-004,BOMBAY NEGRO,BON_PROD,Y,1
PT-0004-7051EV-0001-008,40145,,PT-0004-7051,BOMBAY NEGRO EVA 0340 NG TST 180 NG,25142,EV-0001-008,EVA 030040 NEGRO EP,BON_PROD,Y,1
PT-0004-7051TX-0127-002,40146,,PT-0004-7051,BOMBAY NEGRO EVA 0340 NG TST 180 NG,25143,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-0004-7051PR-0001-011,40147,,PT-0004-7051,BOMBAY NEGRO EVA 0340 NG TST 180 NG,25144,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7052TX-0005-057,40148,,PT-0004-7052,ALFA LILA EVA 0240 BC,25145,TX-0005-057,ALFA LILA,BON_PROD,Y,1
PT-0004-7052EV-0001-003,40149,,PT-0004-7052,ALFA LILA EVA 0240 BC,25146,EV-0001-003,EVA 020040 BLANCO EP,BON_PROD,Y,1
PT-0004-7052PR-0001-011,40150,,PT-0004-7052,ALFA LILA EVA 0240 BC,25147,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7052PG-0001-032,40151,,PT-0004-7052,ALFA LILA EVA 0240 BC,25148,PG-0001-032,BRASMELT PLUS 150,BON_PROD,Y,1.45
PT-0004-7053SI-0119-004,40152,,PT-0004-7053,WEST NUT KOREANO 110 NG,25149,SI-0119-004,WEST NUT,BON_PROD,Y,1
PT-0004-7053TX-0054-014,40153,,PT-0004-7053,WEST NUT KOREANO 110 NG,25150,TX-0054-014,KOREANO 110 NEGRO,BON_PROD,Y,1
PT-0004-7053PR-0001-011,40154,,PT-0004-7053,WEST NUT KOREANO 110 NG,25151,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7054SI-0119-003,40155,,PT-0004-7054,WEST NEGRO KOREANO 110 NG,25152,SI-0119-003,WEST NEGRO,BON_PROD,Y,1
PT-0004-7054TX-0054-014,40156,,PT-0004-7054,WEST NEGRO KOREANO 110 NG,25153,TX-0054-014,KOREANO 110 NEGRO,BON_PROD,Y,1
PT-0004-7054PR-0001-011,40157,,PT-0004-7054,WEST NEGRO KOREANO 110 NG,25154,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7055TX-0218-003,40158,,PT-0004-7055,MALLA 997 AZUL MARINO BASE DN 060 GR,25155,TX-0218-003,MALLA 997 AZUL MARINO,MATP,Y,1
PT-0004-7055BA-0001-006,40159,,PT-0004-7055,MALLA 997 AZUL MARINO BASE DN 060 GR,25156,BA-0001-006,BASE GRIS DN 060 RP,MATP,Y,1
PT-0004-7055PR-0001-011,40160,,PT-0004-7055,MALLA 997 AZUL MARINO BASE DN 060 GR,25157,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7055PG-0001-031,40161,,PT-0004-7055,MALLA 997 AZUL MARINO BASE DN 060 GR,25158,PG-0001-031,BRASMELT TPU PX 200,BON_PROD,Y,1.5
PT-0004-7056TX-0218-005,40162,,PT-0004-7056,MALLA 997 NEGRO EVA 0240 NG TST 180 NG,25159,TX-0218-005,MALLA 997 NEGRO,BON_PROD,Y,1
PT-0004-7056EV-0001-004,40163,,PT-0004-7056,MALLA 997 NEGRO EVA 0240 NG TST 180 NG,25160,EV-0001-004,EVA 020040 NEGRO EP,BON_PROD,Y,1
PT-0004-7056TX-0127-002,40164,,PT-0004-7056,MALLA 997 NEGRO EVA 0240 NG TST 180 NG,25161,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-0004-7056PR-0001-011,40165,,PT-0004-7056,MALLA 997 NEGRO EVA 0240 NG TST 180 NG,25162,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,2
PT-0004-7057SI-0020-007,40166,,PT-0004-7057,FORRO FLORENCIA BLACK INK MEMORY ELASTIC 3MM,25163,SI-0020-007,FORRO FLORENCIA BLACK INK,BON_PROD,Y,1
PT-0004-7057ES-0003-015,40167,,PT-0004-7057,FORRO FLORENCIA BLACK INK MEMORY ELASTIC 3MM,25164,ES-0003-015,MEMORY ELASTIC 3MM ROJO,BON_PROD,Y,1
PT-0004-7057PR-0001-011,40168,,PT-0004-7057,FORRO FLORENCIA BLACK INK MEMORY ELASTIC 3MM,25165,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7058TX-0010-010,40169,,PT-0004-7058,BOMBAY LATTE EVA 0340 BC,25166,TX-0010-010,BOMBAY LATTE,BON_PROD,Y,1
PT-0004-7058EV-0001-007,40170,,PT-0004-7058,BOMBAY LATTE EVA 0340 BC,25167,EV-0001-007,EVA 030040 BLANCO EP,BON_PROD,Y,1
PT-0004-7058PR-0001-011,40171,,PT-0004-7058,BOMBAY LATTE EVA 0340 BC,25168,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7058PG-0001-026,40172,,PT-0004-7058,BOMBAY LATTE EVA 0340 BC,25169,PG-0001-026,ADHESIVO SMELLTEX HM 15,BON_PROD,Y,1.5
PT-0004-7059TX-0066-008,40173,,PT-0004-7059,LONA LUX FRENCH EXPRESSO EVA 0240 NG,25170,TX-0066-008,LONA LUX FRENCH EXPRESSO,BON_PROD,Y,1
PT-0004-7059EV-0001-004,40174,,PT-0004-7059,LONA LUX FRENCH EXPRESSO EVA 0240 NG,25171,EV-0001-004,EVA 020040 NEGRO EP,BON_PROD,Y,1
PT-0004-7059PG-0001-001,40175,,PT-0004-7059,LONA LUX FRENCH EXPRESSO EVA 0240 NG,25172,PG-0001-001,ADHESIVO SMELLTEX TPU PX 1.50,BONINSUM,Y,1.5
PT-0004-7059PG-0001-012,40176,,PT-0004-7059,LONA LUX FRENCH EXPRESSO EVA 0240 NG,25173,PG-0001-012,FILM ADHESIVO SMELLTEX HM25 1.45 ROLLO,BONINSUM,Y,1.45
PT-0004-7059PR-0001-011,40177,,PT-0004-7059,LONA LUX FRENCH EXPRESSO EVA 0240 NG,25174,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7060TX-0005-019,40178,,PT-0004-7060,ALFA LAKE MEMORY ELASTIC 4MM ROJO KOREANO 35 BC,25175,TX-0005-019,ALFA LAKE,MATP,Y,1
PT-0004-7060ES-0003-011,40179,,PT-0004-7060,ALFA LAKE MEMORY ELASTIC 4MM ROJO KOREANO 35 BC,25176,ES-0003-011,MEMORY ELASTIC 4MM ROJO,MATP,Y,1
PT-0004-7060TX-0054-004,40180,,PT-0004-7060,ALFA LAKE MEMORY ELASTIC 4MM ROJO KOREANO 35 BC,25177,TX-0054-004,KOREANO 35-150 BLANCO,MATP,Y,1
PT-0004-7060PR-0001-001,40181,,PT-0004-7060,ALFA LAKE MEMORY ELASTIC 4MM ROJO KOREANO 35 BC,25178,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0004-7061SI-0105-004,40182,,PT-0004-7061,DEER BLACK INK MAQUILA ALMA 1.6,25179,SI-0105-004,DEER BLACK INK,BON_PROD,Y,1
PT-0004-7061PR-0001-011,40183,,PT-0004-7061,DEER BLACK INK MAQUILA ALMA 1.6,25180,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7062SI-0021-005,40184,,PT-0004-7062,FORRO LORETO BLACK INK MAQUILA ALMA 1.6,25181,SI-0021-005,FORRO LORETO BLACK INK 1040003426,BON_PROD,Y,1
PT-0004-7062PR-0001-011,40185,,PT-0004-7062,FORRO LORETO BLACK INK MAQUILA ALMA 1.6,25182,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7063SI-0021-004,40186,,PT-0004-7063,FORRO LORETO MOKA EVA 0340 NG,25183,SI-0021-004,FORRO LORETO MOKA 1040003512,BON_PROD,Y,1
PT-0004-7063EV-0002-007,40187,,PT-0004-7063,FORRO LORETO MOKA EVA 0340 NG,25184,EV-0002-007,EVA 030040 NEGRO VIC,BON_PROD,Y,1
PT-0004-7063PR-0001-011,40188,,PT-0004-7063,FORRO LORETO MOKA EVA 0340 NG,25185,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7064SI-0117-005,40189,,PT-0004-7064,ROCA NEGRO KAR MAQUILA ALMA 1.6 AVANTE FRENCH EXPRESSO,25186,SI-0117-005,ROCA NEGRO KAR,BON_PROD,Y,1
PT-0004-7064SI-0095-003,40190,,PT-0004-7064,ROCA NEGRO KAR MAQUILA ALMA 1.6 AVANTE FRENCH EXPRESSO,25187,SI-0095-003,AVANTE FRENCH EXPRESSO,BON_PROD,Y,1
PT-0004-7064PR-0001-011,40191,,PT-0004-7064,ROCA NEGRO KAR MAQUILA ALMA 1.6 AVANTE FRENCH EXPRESSO,25188,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,2
PT-0004-7065SI-0095-003,40192,,PT-0004-7065,AVANTE FRENCH EXPRESSO MAQUILA ALMA 1.8,25189,SI-0095-003,AVANTE FRENCH EXPRESSO,BON_PROD,Y,1
PT-0004-7065PR-0001-011,40193,,PT-0004-7065,AVANTE FRENCH EXPRESSO MAQUILA ALMA 1.8,25190,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7066TX-0150-016,40194,,PT-0004-7066,CRONO BLUSH EVA 0240 BC,25191,TX-0150-016,CRONO BLUSH,BON_PROD,Y,1
PT-0004-7066EV-0001-003,40195,,PT-0004-7066,CRONO BLUSH EVA 0240 BC,25192,EV-0001-003,EVA 020040 BLANCO EP,BON_PROD,Y,1
PT-0004-7066PR-0001-011,40196,,PT-0004-7066,CRONO BLUSH EVA 0240 BC,25193,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7067SI-0020-008,40197,,PT-0004-7067,FORRO FLORENCIA NUDE EVA 01540 BC MAQUILA,25194,SI-0020-008,FORRO FLORENCIA NUDE,BON_PROD,Y,1
PT-0004-7067EV-0002-019,40198,,PT-0004-7067,FORRO FLORENCIA NUDE EVA 01540 BC MAQUILA,25195,EV-0002-019,EVA 015040 BLANCO VIC,BON_PROD,Y,1
PT-0004-7067PR-0001-011,40199,,PT-0004-7067,FORRO FLORENCIA NUDE EVA 01540 BC MAQUILA,25196,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,2
PT-0004-7067PG-0001-024,40200,,PT-0004-7067,FORRO FLORENCIA NUDE EVA 01540 BC MAQUILA,25197,PG-0001-024,FILM ADHESIVO 020 DEVA,BONINSUM,Y,1.45
PT-0004-7068MQ-0066-001,40201,,PT-0004-7068,WAVY ROSA CLARO LOZ EVA 0340 BC,25198,MQ-0066-001,WAVY ROSA CLARO LOZ,BON_PROD,Y,1
PT-0004-7068EV-0002-006,40202,,PT-0004-7068,WAVY ROSA CLARO LOZ EVA 0340 BC,25199,EV-0002-006,EVA 030040 BLANCO VIC,BON_PROD,Y,1
PT-0004-7068PR-0001-011,40203,,PT-0004-7068,WAVY ROSA CLARO LOZ EVA 0340 BC,25200,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7069TX-0005-059,40204,,PT-0004-7069,ALFA LATTE EVA 0250 BC,25201,TX-0005-059,ALFA LATTE,BON_PROD,Y,1
PT-0004-7069EV-0001-005,40205,,PT-0004-7069,ALFA LATTE EVA 0250 BC,25202,EV-0001-005,EVA 025040 BLANCO EP,BON_PROD,Y,1
PT-0004-7069PR-0001-011,40206,,PT-0004-7069,ALFA LATTE EVA 0250 BC,25203,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7069PG-0001-024,40207,,PT-0004-7069,ALFA LATTE EVA 0250 BC,25204,PG-0001-024,FILM ADHESIVO 020 DEVA,BON_PROD,Y,1.45
PT-0004-7070TX-0005-020,40208,,PT-0004-7070,ALFA MID NIGHT FOG (AL REVES) EVA 0440 NG,25205,TX-0005-020,ALFA MIDNIGHT FOG,BON_PROD,Y,1
PT-0004-7070EV-0002-009,40209,,PT-0004-7070,ALFA MID NIGHT FOG (AL REVES) EVA 0440 NG,25206,EV-0002-009,EVA 040040 NEGRO VIC,BON_PROD,Y,1
PT-0004-7070PR-0001-011,40210,,PT-0004-7070,ALFA MID NIGHT FOG (AL REVES) EVA 0440 NG,25207,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7071MQ-0060-022,40211,,PT-0004-7071,BOMBAY BLANCO ESTAMPADO FASCINACION METAVERSO RAVE EVA 0240 BC MEMORY FOAM 2MM,25208,MQ-0060-022,BOMBAY BLANCO (EST. DIGITAL PRINT FASCINACION RAVER META UNIVERSO AP),BON_PROD,Y,1
PT-0004-7071EV-0001-003,40212,,PT-0004-7071,BOMBAY BLANCO ESTAMPADO FASCINACION METAVERSO RAVE EVA 0240 BC MEMORY FOAM 2MM,25209,EV-0001-003,EVA 020040 BLANCO EP,BON_PROD,Y,1
PT-0004-7071ES-0003-008,40213,,PT-0004-7071,BOMBAY BLANCO ESTAMPADO FASCINACION METAVERSO RAVE EVA 0240 BC MEMORY FOAM 2MM,25210,ES-0003-008,MEMORY FOAM 2MM,BON_PROD,Y,1
PT-0004-7071PR-0001-001,40214,,PT-0004-7071,BOMBAY BLANCO ESTAMPADO FASCINACION METAVERSO RAVE EVA 0240 BC MEMORY FOAM 2MM,25211,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0004-7072MQ-0060-023,40215,,PT-0004-7072,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO PINK EVA 0240 BC MEMORY FOAM 2MM,25212,MQ-0060-023,BOMBAY BLANCO (EST. DIGITAL PRINT SENCILLEZ ELEVADO PINK),BON_PROD,N,1
PT-0004-7072EV-0001-003,40216,,PT-0004-7072,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO PINK EVA 0240 BC MEMORY FOAM 2MM,25213,EV-0001-003,EVA 020040 BLANCO EP,BON_PROD,Y,1
PT-0004-7072ES-0003-008,40217,,PT-0004-7072,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO PINK EVA 0240 BC MEMORY FOAM 2MM,25214,ES-0003-008,MEMORY FOAM 2MM,BON_PROD,Y,1
PT-0004-7072PR-0001-001,40218,,PT-0004-7072,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO PINK EVA 0240 BC MEMORY FOAM 2MM,25215,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0004-7073MQ-0060-024,40219,,PT-0004-7073,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO BLUE ESPUMA 0417 BC PELLON BC,25216,MQ-0060-024,BOMBAY BLANCO (EST. DIGITAL PRINT SENCILLEZ ELEVADO BLUE),BON_PROD,N,1
PT-0004-7073PR-0001-001,40220,,PT-0004-7073,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO BLUE ESPUMA 0417 BC PELLON BC,25217,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0004-7073ES-0002-019,40221,,PT-0004-7073,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO BLUE ESPUMA 0417 BC PELLON BC,25218,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0004-7073TX-0054-001,40222,,PT-0004-7073,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO BLUE ESPUMA 0417 BC PELLON BC,25219,TX-0054-001,PELLON BLANCO,BON_PROD,Y,1
PT-0004-7074MQ-0060-022,40223,,PT-0004-7074,BOMBAY BLANCO ESTAMPADO FASCINACION RAVE METAVERSO ESPUMA 0417 BC PELLON BC,25220,MQ-0060-022,BOMBAY BLANCO (EST. DIGITAL PRINT FASCINACION RAVER META UNIVERSO AP),BON_PROD,Y,1
PT-0004-7074ES-0002-019,40224,,PT-0004-7074,BOMBAY BLANCO ESTAMPADO FASCINACION RAVE METAVERSO ESPUMA 0417 BC PELLON BC,25221,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0004-7074TX-0054-001,40225,,PT-0004-7074,BOMBAY BLANCO ESTAMPADO FASCINACION RAVE METAVERSO ESPUMA 0417 BC PELLON BC,25222,TX-0054-001,PELLON BLANCO,BON_PROD,Y,1
PT-0004-7074PR-0001-001,40226,,PT-0004-7074,BOMBAY BLANCO ESTAMPADO FASCINACION RAVE METAVERSO ESPUMA 0417 BC PELLON BC,25223,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0004-7075MQ-0060-024,40227,,PT-0004-7075,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO BLUE EVA 0240 BC MEMORY FOAM 2MM,25224,MQ-0060-024,BOMBAY BLANCO (EST. DIGITAL PRINT SENCILLEZ ELEVADO BLUE),BON_PROD,N,1
PT-0004-7075ES-0001-003,40228,,PT-0004-7075,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO BLUE EVA 0240 BC MEMORY FOAM 2MM,25225,ES-0001-003,BLOCK 018 BLANCO U,BON_PROD,Y,1
PT-0004-7075ES-0003-008,40229,,PT-0004-7075,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO BLUE EVA 0240 BC MEMORY FOAM 2MM,25226,ES-0003-008,MEMORY FOAM 2MM,BON_PROD,Y,1
PT-0004-7075PR-0001-001,40230,,PT-0004-7075,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO BLUE EVA 0240 BC MEMORY FOAM 2MM,25227,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0004-7076MQ-0060-023,40231,,PT-0004-7076,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO PINK ESPUMA 0417 BC PELLON BC,25228,MQ-0060-023,BOMBAY BLANCO (EST. DIGITAL PRINT SENCILLEZ ELEVADO PINK),BON_PROD,N,1
PT-0004-7076ES-0002-019,40232,,PT-0004-7076,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO PINK ESPUMA 0417 BC PELLON BC,25229,ES-0002-019,PEELER 040-014 BLANCO U,BON_PROD,Y,1
PT-0004-7076TX-0054-001,40233,,PT-0004-7076,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO PINK ESPUMA 0417 BC PELLON BC,25230,TX-0054-001,PELLON BLANCO,BON_PROD,Y,1
PT-0004-7076PR-0001-001,40234,,PT-0004-7076,BOMBAY BLANCO ESTAMPADO SENCILLEZ ELEVADO PINK ESPUMA 0417 BC PELLON BC,25231,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,2
PT-0004-7077SI-0026-004,40235,,PT-0004-7077,HELSINKI PLUS FRENCH EXPRESSO BASE DN 060 GR,25232,SI-0026-004,HELSINKI PLUS FRENCH EXPRESSO,MATP,Y,1
PT-0004-7077BA-0001-006,40236,,PT-0004-7077,HELSINKI PLUS FRENCH EXPRESSO BASE DN 060 GR,25233,BA-0001-006,BASE GRIS DN 060 RP,MATP,Y,1
PT-0004-7077PR-0001-011,40237,,PT-0004-7077,HELSINKI PLUS FRENCH EXPRESSO BASE DN 060 GR,25234,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7078TX-0068-001,40238,,PT-0004-7078,LONA PRIX CAFE EVA 0240 NG,25235,TX-0068-001,LONA PRIX CAFE,MATP,Y,1
PT-0004-7078EV-0002-003,40239,,PT-0004-7078,LONA PRIX CAFE EVA 0240 NG,25236,EV-0002-003,EVA 020040 NEGRO VIC,MATP,Y,1
PT-0004-7078PR-0001-011,40240,,PT-0004-7078,LONA PRIX CAFE EVA 0240 NG,25237,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7079SI-0026-003,40241,,PT-0004-7079,HELSINKI PLUS BLACK INK EVA 01540 NG,25238,SI-0026-003,HELSINKI PLUS BLACK INK,BON_PROD,Y,1
PT-0004-7079EV-0001-002,40242,,PT-0004-7079,HELSINKI PLUS BLACK INK EVA 01540 NG,25239,EV-0001-002,EVA 015040 NEGRO EP,BON_PROD,Y,1
PT-0004-7079PR-0001-011,40243,,PT-0004-7079,HELSINKI PLUS BLACK INK EVA 01540 NG,25240,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0004-7080TX-0218-021,40244,,PT-0004-7080,MALLA 997 ICE TST 180 SUAVE BC,25241,TX-0218-021,MALLA 997 ICE,MATP,Y,1
PT-0004-7080TX-0127-001,40245,,PT-0004-7080,MALLA 997 ICE TST 180 SUAVE BC,25242,TX-0127-001,TST 180 BLANCO SUAVE,MATP,Y,1
PT-0004-7080PR-0001-001,40246,,PT-0004-7080,MALLA 997 ICE TST 180 SUAVE BC,25243,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
